asset,historical_cvar_95,parametric_cvar_95,monte_carlo_cvar_95,historical_cvar_99,parametric_cvar_99,monte_carlo_cvar_99
BTC-USD,0.07203705062000391,0.061686458171465966,0.07621968189497007,0.11567893824868568,0.07981651634912126,0.13894747238601843
ETH-USD,0.09637991020967772,0.08339416329086759,0.0998548094890017,0.15581744724744778,0.107891232776869,0.17913513954277527
BNB-USD,0.09220709115248318,0.08385882679538993,0.1072299001304104,0.16341745225842846,0.10874334449151361,0.22992730192095134
SOL-USD,0.12521747454699317,0.1167220541787592,0.13300251266807384,0.21936770549777893,0.15134507628791732,0.22554653787550857
XRP-USD,0.10841725751197946,0.10292041203890231,0.12653294278480945,0.1878318129997528,0.13319918998427488,0.25755738619618307
DOGE-USD,0.12836816032356083,0.14480090685031755,0.1565069272354138,0.23149694748948604,0.18745683730257884,0.3204166453647623
