asset,historical_var_95,parametric_var_95,monte_carlo_var_95,historical_var_99,parametric_var_99,monte_carlo_var_99
BTC-USD,0.046987625299002946,0.049112527070031324,0.04523043130632496,0.08582966320318461,0.06961958329295508,0.09098492032559044
ETH-USD,0.0636440634685497,0.06640445146061719,0.060701897665447285,0.11581383454676286,0.09411328594551951,0.11724933255965728
BNB-USD,0.05782858840459021,0.0666004039079706,0.05429196022326814,0.10485364207997083,0.0947474842137408,0.12597659570355876
SOL-USD,0.08194995654140395,0.09270958327226461,0.08534877806961418,0.13893555488302886,0.1318719651048342,0.15720229974417957
XRP-USD,0.06547544462037436,0.08192085075839951,0.06779017913849313,0.12827389615053955,0.11616942269362106,0.14985524291162933
DOGE-USD,0.07914472783346653,0.11521728801585854,0.0836891553240382,0.13876725263846898,0.16346575779207498,0.18456989148556124
