date,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,DOGE-USD
2021-01-02,,,,,,
2021-01-03,,,,,,
2021-01-04,,,,,,
2021-01-05,,,,,,
2021-01-06,,,,,,
2021-01-07,,,,,,
2021-01-08,,,,,,
2021-01-09,,,,,,
2021-01-10,,,,,,
2021-01-11,,,,,,
2021-01-12,,,,,,
2021-01-13,,,,,,
2021-01-14,,,,,,
2021-01-15,,,,,,
2021-01-16,,,,,,
2021-01-17,,,,,,
2021-01-18,,,,,,
2021-01-19,,,,,,
2021-01-20,,,,,,
2021-01-21,,,,,,
2021-01-22,,,,,,
2021-01-23,,,,,,
2021-01-24,,,,,,
2021-01-25,,,,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-29,,,,,,
2021-01-30,,,,,,
2021-01-31,,,,,,
2021-02-01,,,,,,
2021-02-02,,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-05,,,,,,
2021-02-06,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,,,,,,
2021-02-10,,,,,,
2021-02-11,,,,,,
2021-02-12,,,,,,
2021-02-13,,,,,,
2021-02-14,,,,,,
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,,,,,,
2021-02-19,,,,,,
2021-02-20,,,,,,
2021-02-21,,,,,,
2021-02-22,,,,,,
2021-02-23,,,,,,
2021-02-24,,,,,,
2021-02-25,,,,,,
2021-02-26,,,,,,
2021-02-27,,,,,,
2021-02-28,,,,,,
2021-03-01,,,,,,
2021-03-02,,,,,,
2021-03-03,,,,,,
2021-03-04,,,,,,
2021-03-05,,,,,,
2021-03-06,,,,,,
2021-03-07,,,,,,
2021-03-08,,,,,,
2021-03-09,,,,,,
2021-03-10,,,,,,
2021-03-11,,,,,,
2021-03-12,,,,,,
2021-03-13,,,,,,
2021-03-14,,,,,,
2021-03-15,,,,,,
2021-03-16,,,,,,
2021-03-17,,,,,,
2021-03-18,,,,,,
2021-03-19,,,,,,
2021-03-20,,,,,,
2021-03-21,,,,,,
2021-03-22,,,,,,
2021-03-23,,,,,,
2021-03-24,,,,,,
2021-03-25,,,,,,
2021-03-26,,,,,,
2021-03-27,,,,,,
2021-03-28,,,,,,
2021-03-29,,,,,,
2021-03-30,,,,,,
2021-03-31,,,,,,
2021-04-01,0.9191505270689094,1.1874879882800211,1.9313172824126525,1.8007221233668325,1.600624698329836,3.975119731987288
2021-04-02,0.9027563516355684,1.1916129290718953,1.93136266464658,1.7980507312813803,1.5949007187782172,3.793915725399904
2021-04-03,0.9054270045786568,1.1110963607976012,1.9340874356625728,1.77950415793804,1.5992732673495298,3.791366750848234
2021-04-04,0.9026575628133316,1.1067201785840748,1.936795188202293,1.7668363457908947,1.6065826242251184,3.7911180376828044
2021-04-05,0.8964358183191898,1.1027528817627965,1.9376603117523592,1.7386109167788952,1.7546913726953701,3.791443669876441
2021-04-06,0.8852165263483347,1.0883981695057277,1.9421889178318898,1.7209745061571524,1.7784867931529518,3.792524333578577
2021-04-07,0.8790255270338372,1.0999052812457237,1.95183848761544,1.6876493882949268,1.7494138411643014,3.795140068509805
2021-04-08,0.8801775859230868,1.1047161564085357,1.9563055556992248,1.5864400982570224,1.7686092343962547,3.7953845539094146
2021-04-09,0.8795770662684923,1.1017550857565273,1.9594142832394892,1.5856050578978287,1.7715502426691192,3.7953751043172823
2021-04-10,0.8739685105741619,1.1020527466320973,1.9557873676176816,1.5892178965016368,1.8612675556881304,3.793762943968719
2021-04-11,0.8587834362052807,1.0594521676821622,1.9441549469918251,1.567632251901761,1.8495345252865079,3.7942760413346557
2021-04-12,0.8540977413290458,1.056381724033587,1.9531410136461915,1.5435527923653203,1.8543072934289506,3.790307788047456
2021-04-13,0.8429056330265925,1.0562940936947018,1.9651057185648104,1.5447724264401619,1.8901210509412443,3.826524766175558
2021-04-14,0.8394271872059952,1.0489106448875924,1.9659549116968058,1.5388053324022373,1.8872787770099348,3.8519595843269006
2021-04-15,0.8277360993211454,1.042920573467546,1.9650077076636658,1.537958280004618,1.8850583531082776,3.925826433774966
2021-04-16,0.8290789259009187,1.0435299327974839,1.9731290123134995,1.554791923458541,1.907829338848322,4.14473507050693
2021-04-17,0.8307069652742572,1.048729022039485,1.9721400734588446,1.546252169579173,1.907801975534703,4.186925123114913
2021-04-18,0.8425936917103092,1.0518972994886702,1.9796752832484,1.6200908864764674,1.9200526487714058,4.190798033720753
2021-04-19,0.8415271457731964,1.0437307982960695,1.971453446390483,1.6177762314044393,1.928454166785897,4.208218785216099
2021-04-20,0.8410355725112124,1.0532364264010246,1.9864094369893814,1.6181244029596082,1.9299349903295042,4.249488123584292
2021-04-21,0.7954080284618688,0.9527196467772102,1.981082016643931,1.5416479897795436,1.9241429924399844,4.242390517206261
2021-04-22,0.7913843833800402,0.9328462741881238,1.990982193019889,1.5628833044404484,1.9415640496310147,4.261472830036533
2021-04-23,0.7894388510088847,0.9336440403138719,1.990367023004868,1.56792402516556,1.9412291639401569,4.264151524871701
2021-04-24,0.7912360348788956,0.9163069231178316,1.9978827445601814,1.5728280615621162,1.957840528604416,4.264681479268563
2021-04-25,0.7927354128722003,0.911887564495079,1.9972509934089218,1.5918812307083317,1.9572476737246554,4.2672374049241215
2021-04-26,0.8137179240922922,0.924588448522909,1.9973970146432052,1.6013867758355498,2.0258953001678073,4.266698337679224
2021-04-27,0.8005533771101361,0.9040389607677483,1.9956677380164016,1.5847302831088923,2.01816289778611,4.257073084461809
2021-04-28,0.7806303035989655,0.8962967444540938,1.997165275735098,1.5847876253376922,2.019555761258047,2.8627898283906017
2021-04-29,0.7816904020093056,0.8944348459970708,1.9979313005101065,1.5926060193087797,2.0170503818868584,2.8367792158709144
2021-04-30,0.7940403375991508,0.8942687841087357,1.9977825104423155,1.5862376587891898,1.8311477475712645,2.6471877012751035
2021-05-01,0.7897885051613192,0.8929847962952687,1.997335403547298,1.6050255689335216,1.821242228101189,2.612536912495476
2021-05-02,0.7916048907794169,0.8899271438056258,1.9829227825032327,1.6101322879126199,1.720780991720533,2.6104825152995472
2021-05-03,0.7849819784959942,0.9188669488640904,1.9846764092576492,1.5998778345613638,1.7210738825277772,2.6115713674899386
2021-05-04,0.7925327914768155,0.9112611804481655,2.0025885360026656,1.6061127130225328,1.7377651404175558,2.617976173465089
2021-05-05,0.8046111440268524,0.9186331456590893,2.002186865007562,1.5970751331263802,1.7478101714925893,2.5575882270989947
2021-05-06,0.8034383970175208,0.9095363787014825,1.977194854319224,1.600223578733511,1.7483124463385522,2.5561164836123282
2021-05-07,0.8028916622473573,0.90731366248404,1.9763700771289665,1.5852755014354476,1.747896135492542,2.545949843744059
2021-05-08,0.8036169783373772,0.9280189586120192,1.9684365121841652,1.5806692510575853,1.7426903013107715,2.493019005790264
2021-05-09,0.7219559672782607,0.9162296301446248,1.9504610335985995,1.5584893742122865,1.7395084663060778,2.5073566108419887
2021-05-10,0.7276327911988055,0.9162474185119035,1.8747907377641704,1.5612823302778385,1.7519698202134735,2.5455188685726657
2021-05-11,0.7240862737291334,0.9196819309992433,1.8470680749511033,1.5378166192106657,1.7524544207895918,2.549195430377432
2021-05-12,0.761463946469322,0.939734079631636,1.8652031461338685,1.5395311712235482,1.78208461407844,2.596357947263855
2021-05-13,0.760875769096995,0.9415140492525017,1.86182434443152,1.5475966465298363,1.7661129017409778,2.628336036389164
2021-05-14,0.7608661185254668,0.9554498391762043,1.861555746073322,1.542130169301715,1.7654163472583244,2.6336859035035958
2021-05-15,0.7694350106179308,0.9850430075866268,1.8692219491281663,1.5415450412719158,1.7618898916883632,2.63993745285056
2021-05-16,0.7690746456717581,0.985612577707485,1.8657791899333016,1.5457494843236037,1.7552274784573867,2.627395534844076
2021-05-17,0.7779655596113524,1.0039998578733489,1.8794353815990907,1.5371842764979675,1.7504123006567867,2.6270709235047423
2021-05-18,0.7687083871619067,1.002986958298715,1.8238518798659287,1.5702627414671244,1.7529539369248976,2.620880219119953
2021-05-19,0.8280548609543033,1.2015307483268443,1.9916939510088538,1.8504009696381505,1.946111318551875,2.7202316539750666
2021-05-20,0.8365641369243635,1.2272840547636579,1.7075294034770951,1.8462475455359286,1.9542403138985172,2.735641718548288
2021-05-21,0.8521711560087197,1.255611292559375,1.65521212774155,1.8434722590711805,1.9714701223862303,2.746659255124828
2021-05-22,0.8498936298354727,1.261343112457398,1.6351436293084314,1.8945473700595368,1.9813217897473743,2.7497514711940263
2021-05-23,0.8553992106615147,1.2631866133018623,1.6472970920556187,1.891576717430859,2.0005823140547645,2.7591892427588784
2021-05-24,0.8652780643815393,1.3230663470103654,1.716350661034362,1.950762807939667,2.0181404762212622,2.7633286891590685
2021-05-25,0.8646668271682115,1.3226371703733881,1.7064789132996339,1.9403721967585235,2.018317939860737,2.7501332442572064
2021-05-26,0.860014766191491,1.3129469595517966,1.7088456252631645,1.914074797627818,2.013997353039115,2.7333095876100724
2021-05-27,0.8601070622957925,1.3165290670375087,1.705172337529449,1.9169332510747201,2.017633338313015,2.7375790574317254
2021-05-28,0.8733632517839628,1.3444505819842294,1.7228327835738568,1.9429421844152273,2.0257476561025753,2.7432069615157455
2021-05-29,0.874309720640456,1.3487526174636193,1.7238130241646974,1.9471555287606386,2.0299491771735454,2.74228387209776
2021-05-30,0.8543727224965909,1.33726617094931,1.685160955588706,1.931236576081493,2.0322125917996274,2.74205880696322
2021-05-31,0.8588169099810127,1.3538168106050263,1.6874309452632548,1.9416318071902965,2.0483114174557526,2.7439051561944106
2021-06-01,0.8549647224841279,1.352152565350642,1.6879603095569822,1.9462318975009685,2.0494290445707106,2.7520801263099535
2021-06-02,0.8534202717037394,1.3519111166745752,1.6961478129959393,1.9461096571516452,2.0456908913923786,2.760618877187436
2021-06-03,0.8582997668710298,1.3550719924895813,1.6994945067798464,1.9641456685114482,2.04154806771546,2.764381494454548
2021-06-04,0.8670179723428271,1.354251799200142,1.7112482810847944,1.9686476095625802,2.0486975042215727,2.7698126788038526
2021-06-05,0.8646762192720612,1.3530565479084318,1.7079243381323486,1.9688340706677498,2.051809244915638,2.7707346832009425
2021-06-06,0.8626982093550198,1.3494665758954072,1.7079268664528862,1.9707089963090396,2.0520230794355108,2.749335086505296
2021-06-07,0.8648770208972297,1.3527428632943004,1.6741509707331153,1.977443868830259,2.0620176781400534,2.754636939558105
2021-06-08,0.8636157625400165,1.351767445351893,1.6709568658772982,1.9786499375819961,2.058926255311719,2.7533456060937933
2021-06-09,0.8929128260433934,1.3535160131459572,1.673684505461092,1.9662070055811096,2.060284680163488,2.7538403836509326
2021-06-10,0.8933346781556559,1.3566332901226366,1.667066493662752,1.955314903257562,2.063495304078367,2.7568546594347536
2021-06-11,0.8824992508844823,1.3505234643151844,1.6650328534460888,1.9738146935732976,2.0633740423090474,2.749364537149307
2021-06-12,0.8845950011055596,1.3478871091616178,1.661907773402938,1.9692075263522284,2.061576365201489,2.7439238152601586
2021-06-13,0.8999956052073451,1.3505674082507497,1.664467513433417,1.9706088635646486,2.0639896583039095,2.742928045160533
2021-06-14,0.9022640002325341,1.351447383545846,1.6643771565703784,1.9683209696144761,2.0617841421115206,2.7429001919991056
2021-06-15,0.8989033015781566,1.3518980959550575,1.6627442021375751,1.9677107915935794,2.0628025393409826,2.743441461617927
2021-06-16,0.9021145998902182,1.35906148529541,1.6653134062121306,1.9676237755970722,2.064925042665008,2.745422829656379
2021-06-17,0.9018391512860415,1.3587085921111854,1.665510798797427,1.9679510785909378,2.064819073664181,2.7458333066433305
2021-06-18,0.9089804094062558,1.3646813825014943,1.668395081467514,1.9737677737607318,2.0553288456080403,2.7485786548107427
2021-06-19,0.9088858049138298,1.3660553218776246,1.6685708511043793,1.976972766852519,2.057778624074329,2.74878390694249
2021-06-20,0.9025153316868646,1.3619960782699179,1.6667040867881506,1.9765485603568933,2.055763437676128,2.746691602989879
2021-06-21,0.9311391952533034,1.4077765489611962,1.7288918361372205,2.059459467833132,2.115286747147613,2.9033219732782483
2021-06-22,0.9313126199402308,1.4034435456486822,1.7292524053671061,2.0572516028130248,2.1079178692092437,2.9034346281797876
2021-06-23,0.9344178747136624,1.4062747332699859,1.7419640048581913,2.0699588018353015,2.1271042838085226,2.928983861906546
2021-06-24,0.9244741828568876,1.3998612620851367,1.7352688263475813,2.055623045373086,2.1206075179534127,2.9351389492081905
2021-06-25,0.9403463283855484,1.413339131290466,1.7428644129579445,2.053631982895129,2.129022386752684,2.9454986089979953
2021-06-26,0.9420005968313804,1.413141487989593,1.7428755047571833,2.0469439935146174,2.1290463339635664,2.945060941150489
2021-06-27,0.9519600058623666,1.4144766206644013,1.7439261796950944,2.0494909318309733,2.130271252818483,2.9471849051737977
2021-06-28,0.9506266760713096,1.4177606535587475,1.7260627892336848,2.0502799396347156,2.130276609521536,2.948383385675542
2021-06-29,0.9551020740578771,1.4173249128581502,1.726709022409547,2.0506914941165824,2.137888323365693,2.948089382355206
2021-06-30,0.9558036698249919,1.4198842121546071,1.7143263421844075,2.0515233068561667,2.137893461989537,2.938646364686982
2021-07-01,0.9588414887703702,1.4194171830575626,1.7175983651226143,2.055725495095914,2.139278043753547,2.9349413362865384
2021-07-02,0.9577639023272095,1.4147787478180855,1.7148486014679611,2.0403116046697214,2.1369598831792884,2.9330701181935326
2021-07-03,0.9584790129328707,1.4148132476189046,1.708653861351442,2.037822792026308,2.1293597046895787,2.932952469924474
2021-07-04,0.9586552875931353,1.4169719856777292,1.7062990278730752,2.0364301966574296,1.9963526186309308,2.9325582041041165
2021-07-05,0.9617498155640944,1.4215978822794808,1.695881553038024,2.0314783117022697,1.964809507114405,2.934754934270276
2021-07-06,0.9607999457572749,1.4179601989838788,1.6944979724830962,2.029801248006827,1.932798824826221,2.9268633726289344
2021-07-07,0.9568970091673366,1.4133857539540908,1.6803228172444846,2.0340464189263048,1.9098705315642763,2.9285119324786124
2021-07-08,0.9579559405422283,1.4253078219984168,1.6747967790612757,2.0444217186892226,1.9107377252485345,2.934315461918518
2021-07-09,0.9580442345368613,1.4241654228386809,1.6735232634395658,2.0433917235735426,1.8080315707051293,2.9355103352669416
2021-07-10,0.957835196482356,1.4244786827778042,1.6573285384797667,2.044751888911748,1.8081067181874309,2.922641479958537
2021-07-11,0.9595580009058137,1.424708164859409,1.6362502310758966,2.0444106811028706,1.7993225247867357,2.919975444899472
2021-07-12,0.951635740318433,1.4207454712172702,1.6299323783957598,2.044919544346519,1.7474022782467558,2.866914372116658
2021-07-13,0.9516502817652102,1.418637739834246,1.6302681612117713,2.0464344365399,1.746129713570295,2.8252720189257903
2021-07-14,0.9516315268424008,1.4181380513327628,1.630252106626275,2.049240287855598,1.7451901888204435,2.7047557140316805
2021-07-15,0.9516066212544978,1.4182743945972225,1.6269081137803636,2.0493595071243726,1.7300339887293528,2.3087148702027043
2021-07-16,0.9512975499961706,1.416335411646449,1.628235062069757,2.0560501718187854,1.730025235491628,2.2559186602473402
2021-07-17,0.9438740724878553,1.414970100763513,1.623514846930943,1.9857403427948648,1.7226699948652524,2.2459919160722728
2021-07-18,0.9443112315069184,1.413470904407158,1.6203290156310386,1.985095866726738,1.7182606459282712,2.190836660998727
2021-07-19,0.9445912528704143,1.4067770894043323,1.594127225969458,1.9919773756564068,1.7152498758890373,2.134891995059084
2021-07-20,0.9425981513108712,1.406810575248669,1.5915988861545143,1.9927066672228992,1.713081550589495,2.1341417011852903
2021-07-21,0.9546501466509855,1.4248897522674597,1.6016419109779467,1.9766633741579538,1.7097619301681022,2.123993579405354
2021-07-22,0.954777181385706,1.4251023298141239,1.598800026234253,1.9770306311527404,1.7113556609255096,2.1225550404511737
2021-07-23,0.9586500514918231,1.422274725298087,1.596240669714826,1.9693591839383169,1.699942656917497,2.116687691920451
2021-07-24,0.9592211235430881,1.4201573233528988,1.5958649717518605,1.9446256240541602,1.6999179264737807,2.112448548398761
2021-07-25,0.9404492114328787,1.408791660097998,1.5906463409910563,1.9392043667195795,1.6007421695397843,2.1063449160181964
2021-07-26,0.9460285010089092,1.4052028123814377,1.584971645932677,1.9390592499680226,1.6006257652414306,2.107289066852138
2021-07-27,0.9542986655030712,1.4053195118118322,1.5867646518420824,1.9370808308417404,1.6022799748727483,2.0774505957805043
2021-07-28,0.954070804740967,1.4052901018468937,1.5804290882641947,1.9345607695719467,1.6237357639619103,2.07462126904523
2021-07-29,0.9408976208244337,1.4071925432986137,1.5782128394643506,1.94910725493731,1.5991306558517528,2.0633236993591875
2021-07-30,0.947898299571184,1.40328419642663,1.5789949441520124,1.9258653370085914,1.597220380201925,2.0404589145053316
2021-07-31,0.9476491902505273,1.4045448293260479,1.5806462467460376,1.9409992123112045,1.5942713538965796,2.0390517631033895
2021-08-01,0.9500237938256357,1.3698460074697163,1.5698918433512619,1.9457857279399104,1.5948288568361637,2.008679876564316
2021-08-02,0.9403404561125189,1.366124185211993,1.5576153125503323,1.9412155155661708,1.5812856928398737,1.9637993090893489
2021-08-03,0.926988775137839,1.3564564549459583,1.5507380734990428,1.938851227975555,1.5491586624655282,1.9193896510965582
2021-08-04,0.9306556451842426,1.3674618746957992,1.5525707827026154,1.940484457614082,1.5505906976994974,1.9090601799371916
2021-08-05,0.9320416905042791,1.3697819771270119,1.5528272335130526,1.9426384640842909,1.5506994026514063,1.8723222376397641
2021-08-06,0.9357016938544029,1.3492040123532298,1.5511120609228974,1.9428526894786597,1.5517385192063364,1.8686307372460673
2021-08-07,0.9396212561386605,1.3618757050784207,1.5527029483907122,1.9420792310810209,1.5636632233574794,1.9289432491207776
2021-08-08,0.9366553915658613,1.3648744569873328,1.5520922274744344,1.9431803567668262,1.5547172599234316,1.8797845759870686
2021-08-09,0.9430898847920822,1.3635660133460075,1.5481221247118848,1.9422922975383285,1.5525424542455373,1.8751401607543332
2021-08-10,0.9053747642547049,1.3526697862245036,1.5341942816843053,1.9447641940401863,1.5265221389945347,1.8191583166123755
2021-08-11,0.905368777508101,1.351746117436193,1.5364797279082,1.941264021496251,1.5598011782016137,1.7604388552829922
2021-08-12,0.9065833725967133,1.3400199308869498,1.5320483222794492,1.9397724769516842,1.5608783289021264,1.736924523837768
2021-08-13,0.9100289856508503,1.3339676719693798,1.5327912545653515,1.9473804267993944,1.5754386548220196,1.7371786369390796
2021-08-14,0.9104581245229104,1.3339728278272995,1.532758828708856,1.941748723981392,1.6085498096681872,1.7380412171596302
2021-08-15,0.9009536165404494,1.3226207004108657,1.521191837551657,1.98046984619634,1.6072705062131973,1.7617674315648957
2021-08-16,0.9016158945280953,1.3251757646022493,1.5211983510091358,1.969013648321247,1.6097158711223214,1.765112610202012
2021-08-17,0.8458602973293097,1.1529703687088029,1.2676580261920027,1.72036549524924,1.3918492471598765,1.608178206987833
2021-08-18,0.8223457553859662,1.1247710355215725,1.2288137742507212,1.6720679383411943,1.3764036886588369,1.5617553805572282
2021-08-19,0.8083996308204855,1.0977413540860248,1.183151395834625,1.648486294635436,1.3466363161174209,1.5508723774067226
2021-08-20,0.8148386714866142,1.0921789085474338,1.1740030974796256,1.5880138979095864,1.3290924012472853,1.5495155342695244
2021-08-21,0.7986410751683664,1.0761885452437812,1.1374085960087226,1.511229650965253,1.3010420254825872,1.5348759116571589
2021-08-22,0.7672264142007764,0.9699365964806638,0.9889428928501486,1.4342805475873421,1.2183910890650276,1.4918296246020528
2021-08-23,0.7666412049139011,0.9703116320465438,1.0104226245675099,1.4308269732694159,1.2179343620744683,1.4878959306186852
2021-08-24,0.7696890731665016,0.966885256783263,0.9987602802069,1.403539353903789,1.2279088135973213,1.4996015860328444
2021-08-25,0.7701408594063855,0.9616544634854904,1.0049586643890729,1.3990549932730372,1.2238864542642096,1.4960867700677156
2021-08-26,0.7589093804781305,0.9289926613574643,0.9810110952117178,1.3617254041697961,1.2267856092404812,1.4993405865801188
2021-08-27,0.760849176843296,0.927230855265927,0.9693744439578422,1.3877957810198904,1.23401587944743,1.5102825014963326
2021-08-28,0.7591947915304015,0.923624538691256,0.9626884185009897,1.395079517305695,1.22584931692638,1.5113730537815073
2021-08-29,0.754734856441633,0.8894614396296804,0.9503275288272928,1.3742276769982853,1.194010563109052,1.5037031491068678
2021-08-30,0.7582242143628446,0.887532580322747,0.9534865161813422,1.3977228741322534,1.1948099749199126,1.481473299734977
2021-08-31,0.7570360339251938,0.8937779689324474,0.9316019561581652,1.389610901531326,1.2038022362021112,1.4555905691629671
2021-09-01,0.7554126517476907,0.9136565710036914,0.9286960123817787,1.3603039965348147,1.2059518588369482,1.4571385841433573
2021-09-02,0.7434462479487023,0.9048734101071575,0.9092992456037503,1.3796810487908704,1.1956234957872949,1.452090382012743
2021-09-03,0.7394195340677886,0.9059955637824968,0.9093874939763144,1.3973226990251448,1.1922904516404964,1.4520048302091848
2021-09-04,0.739452226834599,0.905017545316077,0.9098692107043348,1.4003068986803002,1.1931603629153686,1.4522277230819418
2021-09-05,0.7290175637986296,0.8997771509179239,0.8880313608795379,1.381686965142307,1.1789133004852275,1.4379666731897978
2021-09-06,0.7291664737236909,0.8967292365217573,0.8882191071108053,1.4013007152366093,1.1841986398000912,1.437965143927485
2021-09-07,0.7361796408515587,0.9363648474941058,0.946188212822682,1.403529858651515,1.2548097914182847,1.4842334715938559
2021-09-08,0.7359835082177993,0.929418165114896,0.9368139871222887,1.4106776566547257,1.2498992152670079,1.481128447601749
2021-09-09,0.7354047148927164,0.9247373746628504,0.9363322918342689,1.3811000701631844,1.248983718682377,1.4808295174143074
2021-09-10,0.7316787960935193,0.9351898365368584,0.9417310161153188,1.3868899082781196,1.2500318950676783,1.4837397582210563
2021-09-11,0.708084319067511,0.9293416666830365,0.9337552561822334,1.3849040574639264,1.2454036586602808,1.481610358194299
2021-09-12,0.7051577318560479,0.931151614142284,0.9349931074719939,1.3876118959004204,1.2471914435308757,1.4835963484446428
2021-09-13,0.706675330796794,0.9337384486690835,0.9388259093363599,1.3898620544107985,1.250099430443511,1.4874062027499542
2021-09-14,0.7061054216845509,0.9249985021950644,0.934923087118677,1.3992545965593668,1.2482456620007492,1.4862781608121813
2021-09-15,0.706885278277805,0.9297604285091847,0.9376765323959726,1.3985478969988157,1.2487072770636856,1.487613973031203
2021-09-16,0.6950923975976533,0.9209781544024567,0.9334232497035242,1.3940088649836386,1.2447690155061302,1.485949858804366
2021-09-17,0.6950766088102253,0.9243237043526141,0.937555188069266,1.391796601412472,1.2411095789042388,1.4851727103521282
2021-09-18,0.6959774809858773,0.9222757341927268,0.9373264178937959,1.4125887209395174,1.2406663264828397,1.4848686315060462
2021-09-19,0.652120025427541,0.851072130092664,0.8154877236540935,1.2979760278808923,1.135630265819694,1.1721673326304243
2021-09-20,0.6795779546145603,0.8833924134649691,0.8473534626129594,1.3371957063313495,1.1465604153901716,1.1874801936237944
2021-09-21,0.6861587208722519,0.8934437475067535,0.8204067242767202,1.3263225214763636,1.111626014453102,1.1129865450613834
2021-09-22,0.6963648112654893,0.9170313781906386,0.8383916355409105,1.3644618926894256,1.1397740068263376,1.1105165373210921
2021-09-23,0.6707224367295785,0.8948628879553985,0.8151055024633442,1.3489181899394624,1.121131578655626,1.090400020187073
2021-09-24,0.6774212417683884,0.9091180928934267,0.8310324870272567,1.3613219612606748,1.1286596562236617,1.0972499691699416
2021-09-25,0.6627618173475163,0.8963320681451422,0.8284230325083521,1.3590830040284114,1.1248611681558698,1.0865706621565072
2021-09-26,0.6627993110803432,0.8954880245661716,0.8291742201500882,1.3591327627634722,1.124665348543265,1.0856416026490494
