asset,days_compared,mean_diff_pct,max_abs_diff_pct
BTC-USD,364,0.0466578288190299,3.7599769966839807
ETH-USD,364,-0.08588077860579169,5.214030500797704
BNB-USD,364,-0.07339999252084173,5.109122212193137
SOL-USD,364,-0.0949472579646178,5.180103972377652
XRP-USD,364,-0.1984102757873721,4.6897280550691995
DOGE-USD,364,0.026275507109196246,1.1496194327031604
