asset,max_drawdown,pct_time_underwater
BTC-USD,-0.7662925431645935,0.9592137592137592
ETH-USD,-0.7930253453633335,0.972972972972973
BNB-USD,-0.7086445315388596,0.9631449631449631
SOL-USD,-0.9626992725584275,0.9646191646191646
XRP-USD,-0.8323958401465106,0.9857493857493858
DOGE-USD,-0.9233133281145807,0.9916461916461916
